Filename,Co(phen)2(SCN)2 electromagnet RT-325-10011142022
Instrument name,5500-0566 (192.168.10.4)
Operator,Adam K
rundate,11/14/2022
Sample name,Co(phen)2(SCN)2 electromagnet RT-325-100
proceduresegments,Equilibrate 120.00 °C; Isothermal 1.0 min; Electromagnet On 100.0 %; Equilibrate 120.00 °C; Ramp 5.00 °C/min to 325.00 °C; Ramp 5.00 °C/min to 100.00 °C; Equilibrate 100.00 °C
[File Parameters]
Run date,11/14/2022 2:11:32 PM
Trios version,5.3.0.48151
Original File Name,C:\ProgramData\TA Instruments\TRIOS\Data\CH302_B3_22_AK\Co(phen)2(SCN)2 electromagnet RT-325-10011142022.tri
Current File Name,C:/ProgramData/TA Instruments/TRIOS/Data/CH302_B3_22_AK/Co(phen)2(SCN)2 electromagnet RT-325-10011142022.tri
User at run start,CH-CBWNNF3-0721\ChemLocal
[Procedure]
Procedure Name,
Sample Name,Co(phen)2(SCN)2 electromagnet RT-325-100
Pan Number,1
Sample Mass,12.230 mg
Pan Type,Aluminum
Comments,
Project Name,Spin Crossover
Operator,Adam K
Test,Custom
Skip Weight Stabilization,False
Sample mass pre-weigh,Not Available
Stop on Gas Flow Error,No
[Signal List]
Signal #1,Time (min)
Signal #2,Temperature (°C)
Signal #3,Weight (mg)
Signal #4,Temperature Difference (°C)
Signal #5,Sample Purge (mL/min)
Signal #6,Balance Purge (mL/min)
Signal #7,Set Point Temperature (°C)
Signal #8,Power Delivered (W)
Signal #9,Ramp Rate (°C/min)
[Configuration]
Company Name,localcc
Instrument Name,5500-0566
Instrument Type,TGA5500
Serial Number,5500-0566
IP,192.168.10.4
Location of Instrument,Olin Hall Rm 364
DisplayType,TianmaV2
Sample Interval ,0.1 s/pt
Gas 1,Nitrogen
Gas 2,Air
Selected Gas Channel,1
MTGA HiRes Licensed,Yes
[Versions]
Common IDD Version,1
Cortex Version,VER 2.1.2.60
Driver,5.0.0.6
GDM Version,1.2.1.2
TouchscreenVersion,1.0.3.1795
PCU Version,1.2.0.15
Transducer Version,1.1.0.32
[Experiment Logs]
Experiment Log Entry # 1,Equilibrate Segment 120 (C) Started
Experiment Log Entry # 3,Isothermal Segment 1 min started
Experiment Log Entry # 5,"Curie Magnet Segment enable 1, 100 %"
Experiment Log Entry # 7,Equilibrate Segment 120 (C) Started
Experiment Log Entry # 9,Ramp Segment 5 C/min to 325 C Started
Experiment Log Entry # 11,Ending Experiment because of critical or major error
Experiment Log Entry # 13,Curie Coil error
[Method Log]
Method Log Entry # 1,Equilibrate 120 °C
Method Log Entry # 2,Isothermal 1 minutes
Method Log Entry # 3,Electromagnet On 100 %
Method Log Entry # 4,Equilibrate 120 °C
Method Log Entry # 5,(Ramp 1884) Ramp 5 °C/minute to 325 °C
[Weight Calibration]
Date Applied,7/20/2022 10:21:44 AM
Empty Pan Number,23
Empty Pan Weight,341.358 mg
Low Reference Weight Pan Number,24
Low Reference Weight,442.546 mg
High Reference Weight Pan Number,25
High Reference Weight,"1,243.774 mg"
Low Gain Meter Reading,9.9772E-006 mg/count
High Gain Meter Reading,7.9459E-005 mg/count
Low Meter Offset,31.8759 mg
High Meter Offset,613.7978 mg
[Curie Calibration]
Date Applied,8/11/2021 12:40:46 PM
Description,From 256.990 °C to 456.990 °C at 20.000°C/min
Gas Type,Nitrogen
Pan Type,Platinum (100 uL)
Source Files 1,C:\ProgramData\TA Instruments\TRIOS\Data\Nickel Calibration.tri
Source Files 2,C:\ProgramData\TA Instruments\TRIOS\Data\Alumel Calibration.tri
Measured 1,158.9083
Known 1,154.16
Measured 2,358.1255
Known 2,356.99
